add_date,shop_id,product_id,category_id,price,title,old_price
2024-09-30 03:07:09,350,6187823,984,12590,55847 56144 46732 26240 55456,17990
2024-09-30 03:07:09,350,5020102,1139,5070,20246 42949 46732 26240 12634 46473,6590
2024-05-07 18:07:37,350,1539139,183,17192,55088 33867 19868 46732 29313 23931,34392
2024-09-18 03:07:18,350,4961042,512,2090,55847 569 workhorse powerequipment 24035,2990
2024-09-25 00:07:10,350,6392202,50448,1110,55088 302 33867 28591 52513 42060,1590
2024-09-30 03:07:09,350,5943385,1861,3990,55088 58539 46732 26240 63795 20530 10340,3990
2024-07-06 03:07:07,350,1836265,7086,3490,37658 46732 26240 42740 53888 27117,6990
2024-09-30 03:07:09,350,1841453,1068,790,37868 46732 4703 56089 49196,790
2024-05-21 02:06:58,350,3887370,2247,490,17623 46732 4703 56089 31190 20430,990
2024-09-25 00:07:10,350,6729243,50448,11490,5814 46732 26240 52411 20330,18990
2024-09-25 00:07:10,350,6724384,56307,3490,33328 46732 4703 56089 12531 61429,3490
2024-09-30 03:07:09,350,6266587,323,7400,21419 45337 29482 41479,7400
2024-09-30 03:07:09,350,5068237,2348,1590,3898 51816 48557 37183 49596 53535 2032,1590
2024-09-30 03:07:09,350,4926524,1068,39990,31799 38159 56985 57973 7660 21610,39990
2024-04-15 06:07:53,350,6387041,14543,4220,38730 46732 4703 56089 49196,5290
2024-09-30 03:07:09,350,4985169,230,6290,60759 40244 2354 45581 32899,8990
2024-09-30 03:07:09,350,6138441,2264,4900,3898 51816 50347,5900
2024-09-30 03:07:09,350,1604196,1462,540,52094 46732 26240 48557 56089 44342 42060 31787 40058,1090
2024-09-30 03:07:09,350,6810036,1324,2890,57651 34144 33867 51103 15284,2890
2024-09-30 03:07:09,350,6154013,1906,13190,63039 1620 13945 47718,13190
2024-09-03 03:07:07,350,5876801,950,4390,20246 58457 46732 26240 55456,5990
2024-09-30 03:07:09,350,5361771,433,9990,38730 48557 54856 56089 6539,19990
2024-09-25 00:07:10,350,6778426,50448,5590,25402 302 33867 40573 26227,5590
2024-09-30 03:07:09,350,5377907,410,1560,17301 7258 46732 29313 52878 47300,2690
2024-06-20 03:06:56,350,4931017,60,11190,56372 47592 46732 40366 49196,22390
2024-09-30 03:07:09,350,2732495,297,2890,54855 48557 27128 23931,5790
2024-09-30 03:07:09,350,2726890,295,15490,56372 24428 46732 29313 34670,20990
2024-09-30 03:07:09,350,5312436,1068,10990,54940 42789 46732 26240 25569,10990
2024-04-11 06:07:20,350,1510626,261,1060,37868 46732 4703 56089 47333 54840,1640
2024-05-17 15:06:54,350,4947869,304,1840,55847 46732 26240 54840,2630
2024-05-17 17:08:10,350,5055575,2111,27990,57351 24000 42949,39990
2024-09-30 03:07:09,350,5240669,2345,1100,30744 45900 46732 26240 60036 9860,1100
2024-09-30 03:07:09,350,5038141,665,8590,32496 56144 46732 19785 59718 61743 34345 39257,8590
2024-03-04 05:06:39,350,5070757,908,3320,55088 302 46732 26240 33867 3350 25569,3320
2024-09-30 03:07:09,350,5200171,14603,8990,39298 40244 42060 8432 27635 17777,17990
2024-09-30 03:07:09,350,6188607,1138,3990,25402 46732 19785 59718 48557 37183 46441 57163,3990
2024-09-19 03:07:08,350,5039369,7086,13990,30744 2349 46732 12193 10898 42372 10837 60036 63016,19990
2024-09-30 03:07:09,350,1827752,8289,490,51018 3547 48557 25314 47271 34671,990
2024-05-29 02:07:41,350,2687148,37693,2290,37761 3418 46732 26240 13945,4590
2024-09-30 03:07:09,350,5178563,8916,1800,6048 46732 26240 44630,2690
2024-09-30 03:07:09,350,2711112,455,4910,56815 46732 45661 52878 40025,9890
2024-07-29 03:07:04,350,1655091,367,1040,54844 46732 26240 47718,2090
2024-05-13 06:07:47,350,710882,619,2570,6214 58457 49553 4843 13945,3590
2024-06-10 03:06:54,350,5984135,985,3590,17301 7258 13521 7829,3590
2024-04-12 18:07:24,350,1131218,390,690,30035 28258 46732 26240 54840,1390
2024-09-30 03:07:09,350,5138929,418,1390,30035 49013 51404 14763 7829,1990
2024-08-09 03:07:08,350,617585,323,5990,56372 46732 30846 33867 40573 44630,11990
2024-03-04 05:06:56,350,2672281,7951,1590,9642 40244 1958 46732 58249 19351 4965 38352,1590
2024-03-17 17:08:07,350,1634095,2099,630,30035 28258 46732 31238 23103 17933,630
2024-09-30 03:07:09,350,3835004,7038,1290,38730 19794 48557 44342 25569,1290
2024-09-30 03:07:09,350,6112680,289,7490,6214 33867 28258 46732 23611 26240 25569,14990
2024-09-30 03:07:09,350,2628195,243,2590,37658 46732 52558 40366 25569,2590
2024-06-30 03:07:10,350,6077964,455,5340,57651 61949 43215,5340
2024-09-30 03:07:09,350,6187715,8116,2990,25545 741 37312,2990
2024-09-30 03:07:09,350,4747534,7080,5990,43899 42576 48557 55231 22382,11990
2024-09-30 03:07:09,350,5396061,8916,4590,13863 48557 57075 33994 21708 30949 50831,4590
2024-09-28 03:07:13,350,1653434,7086,2090,30744 43083 48557 20373 9348 4937 57154 22205,2990
2024-09-30 03:07:09,350,6615895,1462,490,55088 302 33867 40573 28677,490
2024-09-25 00:07:10,350,6675927,50448,6700,23650 56144 46732 29313 15493 27944 12437 54544,6700
2024-09-17 03:07:10,350,4947969,184,1420,43366 29273 49010 33867 40573 44630,2830
2024-09-30 03:07:09,350,1975090,9164,2090,24887 2343 46732 36120 14078 31787,2090
2024-09-30 03:07:09,350,2716341,908,1690,56815 36072 46732 26240 13945,3390
2024-09-30 03:07:09,350,6076380,9164,890,13863 48557 57075 35019 40851 36073 58908,890
2024-06-13 03:06:59,350,4842618,8863,1700,13863 48557 64356 35267 48689 49030 17614,2400
2024-09-30 03:07:09,350,4928170,1472,17990,30035 28258 33867 28591 52513 44630,17990
2024-09-19 03:07:08,350,6313939,1621,11990,29343 7829 46732 33875 33867 40573 32899,11990
2024-09-25 00:07:10,350,6645047,50448,6190,25402 18493 48557 57075 4970,6190
2024-08-19 03:07:08,350,6198908,554,6890,55847 56144 63389 24258 44188 27797,6890
2024-09-30 03:07:09,350,5350461,1626,5890,37868 26738 46732 15745 31190 41410,5890
2024-09-30 03:07:09,350,523006,361,5990,5814 46732 49152 30790 8448 23931,11990
2024-09-30 03:07:09,350,5226132,984,6990,55847 56144 46732 29313 12721,9990
2024-09-30 03:07:09,350,6180070,369,6490,37658 33056,12990
2024-09-30 03:07:09,350,517894,649,1690,1007 56372 13945,3390
2024-09-30 03:07:09,350,6130349,869,1320,20246 58457 51404 14763 29519 32899,1890
2024-09-30 03:07:09,350,5145920,1139,12192,5814 46732 49152 30790 43664 27537,15992
2024-09-30 03:07:09,350,6145808,7295,1790,55088 46732 39198 65202 61743 42060 14332 9335,1790
2024-09-30 03:07:09,350,6383466,984,1110,20246 58457 46732 35236 33867 5491 52045 25810,1590
2024-09-25 00:07:10,350,6740798,50448,27990,55088 7092 21857 46732 31238 16053 59236,27990
2024-09-25 00:07:10,350,6791337,50448,890,1007 55847 57774,1790
2024-09-30 03:07:09,350,1169154,839,3990,36158 47212 33875,7990
2024-09-30 03:07:09,350,6465357,1381,2590,55088 46732 39199 29313 32899 24258 44188 22563,2590
2024-03-27 17:06:51,350,5875167,1226,2490,17751 31297 41410,4990
2024-03-19 05:06:33,350,6639683,8916,343,15304 7258 5491 52045 25810,693
2024-09-25 00:07:10,350,6358032,50448,12990,50505 56100 3274 39155 46963,12990
2024-09-25 00:07:10,350,6771018,1325,1990,38034 17146 46732 26240 51404 40662 30499 55620 50785,1990
2024-04-16 18:07:29,350,5342072,8859,7990,2941 46732 59443 54840,10990
2024-09-30 03:07:09,350,5327972,9164,1600,30645 46732 27363 492,1600
2024-06-25 03:06:56,350,3722611,184,15990,57651 33867 25074 27644 3398 33554,15990
2024-09-30 03:07:09,350,6119196,295,830,20246 58457 64608,1190
2024-09-30 03:07:09,350,6146807,458,1490,49508 60054 46732 51612 47537 18736 17194,2990
2024-09-30 03:07:09,350,6096653,220,6990,38034 40204 46732 27619 33867 51103 18106,6990
2024-09-30 03:07:09,350,1603180,1768,25190,32619 33867 42442 51404 10279 30353,50390
2024-09-30 03:07:09,350,2709018,410,7990,17751 31297 21261,15990
2024-09-30 03:07:09,350,5117915,907,20990,29722 46732 26240 5808 5491 52045 25810,29990
2024-09-30 03:07:09,350,1702150,455,730,54940 42789 27517,890
2024-09-30 03:07:09,350,4967785,1467,3990,57651 33437 12293,3990
2024-09-30 03:07:09,350,5220653,8925,7990,20253 51404 40466 38776 54907 35267 33867 36253 4987,7990
2024-09-25 00:07:10,350,6347935,50448,1590,55847 56144 23843 23931 27537,1590
2024-09-29 03:07:10,350,5883510,839,2490,20246 33460 46732 13039 14554,2490
2024-03-02 17:08:20,350,3707268,230,3990,55088 13166 44630,7990
2024-09-30 03:07:09,350,5929992,8916,1090,47442 1295 46732 26240 13945,1090
2024-09-30 03:07:09,350,1849312,360,1220,30744 45900 46732 26240 25569,2432
2024-09-30 03:07:09,350,6137479,14603,22990,7235 11886 46732 51612 59173 31731,22990
2024-09-30 03:07:09,350,6190357,242,6290,57651 50319 43086 54023,8990
2024-09-30 03:07:09,350,5322511,1622,6250,18203 33008 44630,8790
2024-09-30 03:07:09,350,1641971,1133,4490,30035 28258 33867 40573 44630,6990
2024-09-30 03:07:09,350,1866306,6568,830,49285 44787 56631,830
2024-09-30 03:07:09,350,5100500,389,830,38721 46732 18423 63323,1190
2024-08-09 03:07:08,350,2716521,379,1040,32619 47212 60390 472,2080
2024-09-30 03:07:09,350,4873067,536,3140,5814 45243 41410,4490
2024-03-27 17:06:51,350,1412251,8927,530,2942 46713 50482 19785 4929 51404 60053,1150
2024-09-30 03:07:09,350,1438373,908,4840,20246 58457 54840,9690
2024-09-30 03:07:09,350,2077992,7086,4990,6214 23419 28707,9990
2024-03-06 05:06:56,350,2722735,8859,4840,24887 37508 40366 17614,6490
2024-09-30 03:07:09,350,1787736,7951,1990,17751 31297 31787,2090
2024-09-30 03:07:09,350,5866118,56,11990,55088 54190,13990
2024-09-30 03:07:09,350,5132285,9164,690,36208 51404 59116 7826 26475 20219 20981,690
2024-09-30 03:07:09,350,5889595,477,11850,30744 60053,16790
2024-04-06 17:07:26,350,6363308,227,1590,32619 28258 33867 42593 48557 44342 42060 33867 44302 46732 26240 44630,1590
2024-09-30 03:07:09,350,5474723,7086,6990,20246 58457 46732 26240 14332 9335,9990
2024-09-30 03:07:09,350,4885458,304,5590,30744 45900 46732 26240 36096 45702 50088,7990
2024-08-07 03:07:13,350,4940266,1068,3600,25402 58457 36811 33867 39461 40025,5290
2024-09-30 03:07:09,350,1331040,6759,2032,20246 58457 46732 26240 42763 15441,4072
2024-09-30 03:07:09,350,5153409,16778,1390,59848 48557 51027 57254 492,1990
2024-09-30 03:07:09,350,6188219,455,1590,59718 29888 47830 32899,1590
2024-09-25 00:07:10,350,6680216,50448,5270,25402 302 46732 33875 492,7390
2024-09-10 03:07:42,350,4025579,8908,1290,43020 54840 9961 61405 46226 49196,2590
2024-09-30 03:07:09,350,2149629,259,3000,30744 63132 48557 44342 42060 33867 54873 53887,4290
2024-09-30 03:07:09,350,4972720,8866,5090,59848 2064 21857 37183 13672 46732 26240 32704 24258 44188,5090
2024-09-30 03:07:09,350,5851200,629,2990,13863 48557 57075 21991 158 61868 23931,2990
2024-09-30 03:07:09,350,6089398,2261,1660,13581 40244 60628 46732 26240 27517,2390
2024-05-18 02:07:48,350,6145032,201,2250,1007 46732 49152 30790 60036 63016,2250
2024-09-30 03:07:09,350,5071172,297,24790,54940 1620 46732 49384 2312 34085,33990
2024-09-30 03:07:09,350,4910018,938,640,1007 25402 302 44630,1290
2024-09-25 00:07:10,350,6544211,50448,10490,56372 48557 25388 42060 12718 22609,20990
2024-09-30 03:07:09,350,3812678,257,3490,25402 19794 46732 15429 18432,6990
2024-09-30 03:07:09,350,1352921,390,1790,55847 56144 46732 26240 22609,3590
2024-09-30 03:07:09,350,5414245,1139,2690,30035 28258 46732 29313 52878 10530 9073 60036 63016 54521,3990
2024-03-11 17:08:13,350,3682109,641,1450,24887 3547 4574 24258 44183 55456,2900
2024-09-30 03:07:09,350,5306400,2255,23090,20246 33460 46732 29313 52878 492,23090
2024-09-25 00:07:10,350,6922922,56307,4400,8124 28258 46732 26240 48557 54856 56089 59230,4400
2024-09-30 03:07:09,350,1868671,9164,1190,49698 19479 4011 1045,1190
2024-09-30 03:07:09,350,493803,908,6990,20246 42250 46732 26240 63323,13990
2024-09-30 03:07:09,350,5092793,7951,3700,51383 16955 46732 19785 23836 32889,3700
2024-09-30 03:07:09,350,5167746,422,4590,48801 42862 9186 37183 51232,4590
2024-09-30 03:07:09,350,3847712,7076,11190,37658 56144 46732 26240 492,15990
2024-09-30 03:07:09,350,3644585,1293,2990,1007 47592 46732 61904 13945,5990
2024-09-30 03:07:09,350,6427055,1895,16790,42899 46732 33875 23931,23990
2024-09-30 03:07:09,350,1404746,7076,4290,37658 56144 46732 26240 44630,8590
2024-09-30 03:07:09,350,757239,318,26890,30744 45900 46732 49384 23103 42160,36990
2024-09-30 03:07:09,350,5878082,2253,640,32496 48557 44342 42060 43664 56388,1290
2024-09-25 00:07:10,350,6663458,50448,22990,55088 58507 35198 17614,22990
2024-08-09 03:07:08,350,5407188,1702,3310,3898 51816 49196 18106,4790
2024-09-27 03:07:08,350,5021032,1851,30090,5814 20530 21857 46732 29313 42060 45917 51644,42990
2024-06-15 03:07:01,350,3918056,1693,3499,55847 46732 21509 33867 51103 20430,4999
2024-09-30 03:07:09,350,5138917,504,10990,43366 46732 26240 2328,10990
2024-09-30 03:07:09,350,5280849,629,5999,10879 49013 11273 23931,11999
2024-09-30 03:07:09,350,5215791,1408,12090,37868 25402 10505 24689,12090
2024-09-30 03:07:09,350,5044120,203,1340,57422 46732 26240 28834 39198,2690
2024-08-28 03:07:08,350,6400814,2099,35990,57651 17381 49196,35990
2024-09-30 03:07:09,350,6180282,347,3920,38721 46732 23611 26240 53888 26475,5780
2024-09-26 03:07:08,350,4955782,2255,2490,42699 56144 37281,4990
2024-09-30 03:07:09,350,1688150,7076,1190,37658 62189 46732 27363 51404 59116 37669,2390
2024-09-30 03:07:09,350,1500431,7301,5990,13863 48557 19247 21991 158 61868 54840,5990
2024-09-30 03:07:09,350,4846391,2179,9790,20246 42250 48557 44342 56729 43664 56388,13990
2024-09-30 03:07:09,350,1403337,455,10200,30644 45900 46732 26240 12634 46473,20400
2024-09-30 03:07:09,350,5102582,509,12990,29343 7829 46732 33875 23931,12990
2024-09-25 00:07:10,350,6519906,50448,34990,36101 7258 46732 26240 55456,34990
2024-09-30 03:07:09,350,3721009,379,1430,35922 46732 62922 42060 8359 24258 44188,1790
2024-09-30 03:07:09,350,6301913,660,3999,29343 7829 46732 5546 33867 28591 52513 14332 9335,3999
2024-05-03 06:07:24,350,2608318,459,2610,20184 619 25370 45716 46577 49078 21906,3590
2024-09-30 03:07:09,350,1687972,262,3460,37265 47592 46732 26240 60307 56975 26357,6940
2024-07-22 03:07:00,350,3838105,14543,18990,65243 1620 46732 18423 42060 55192 31451,26990
2024-07-22 03:07:00,350,6402296,1891,370,13863 48557 57075 33993 24540 492,370
2024-07-24 03:07:02,350,5329406,14294,9790,20246 58457 46732 26240 44630,13990
2024-09-30 03:07:09,350,5323395,1068,27990,42422 7567 51404 59116 37040,27990
2024-09-30 03:07:09,350,6110875,7301,270,43020 7567 46732 23611 26240 13945,270
